time	type	subtype	content
397.219	event	sync	rsync
399.344	event	input	poke_4_out
399.416	event	input	poke_4
399.612	event	input	poke_4_out
399.639	event	input	poke_4
400.146	event	input	poke_4_out
401.146	event	timer	consumption_timer
401.146	state		inter_trial_interval
402.385	state		initiation_state
403.507	event	input	poke_5
403.508	state		choice_state
403.545	event	input	poke_5_out
403.827	event	input	poke_4
403.829	state		chose_left
403.830	variable	print	{"n_trials": 34, "n_rewards": 20, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.1123659, "threshold_crossed": false}
404.330	state		reward_left
404.401	state		reward_consumption
404.867	event	sync	rsync
408.648	event	sync	rsync
413.616	event	input	poke_4_out
413.652	event	input	poke_4
413.901	event	input	poke_4_out
413.928	event	input	poke_4
415.419	event	input	poke_4_out
416.192	event	sync	rsync
416.419	event	timer	consumption_timer
416.419	state		inter_trial_interval
418.318	state		initiation_state
418.613	event	input	poke_5
418.614	state		forced_choice_left
418.646	event	input	poke_5_out
418.927	event	input	poke_4
418.928	state		chose_left
418.929	variable	print	{"n_trials": 35, "n_rewards": 21, "n_blocks": 1, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.1123659, "threshold_crossed": false}
419.430	state		reward_left
419.501	state		reward_consumption
420.898	event	sync	rsync
424.727	event	sync	rsync
424.870	event	input	poke_4_out
424.909	event	input	poke_4
425.728	event	input	poke_4_out
425.752	event	input	poke_4
425.812	event	input	poke_4_out
425.885	event	input	poke_4
426.100	event	input	poke_4_out
427.100	event	timer	consumption_timer
427.100	state		inter_trial_interval
428.721	event	input	poke_5
428.739	event	input	poke_5_out
429.205	state		initiation_state
429.364	event	input	poke_5
429.365	state		choice_state
429.421	event	input	poke_5_out
429.746	event	input	poke_4
429.747	state		chose_left
429.748	variable	print	{"n_trials": 36, "n_rewards": 22, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.09916256, "threshold_crossed": false}
430.249	state		reward_left
430.320	state		reward_consumption
430.944	event	sync	rsync
434.186	event	input	poke_4_out
434.226	event	input	poke_4
436.690	event	input	poke_4_out
436.744	event	input	poke_4
437.215	event	input	poke_4_out
438.215	event	timer	consumption_timer
438.215	state		inter_trial_interval
438.418	event	input	poke_4
438.821	event	input	poke_4_out
438.903	event	sync	rsync
439.663	event	input	poke_4
439.888	event	input	poke_4_out
439.931	state		initiation_state
439.961	event	input	poke_4
440.027	event	input	poke_4_out
441.186	event	input	poke_4
442.283	event	input	poke_4_out
442.642	event	input	poke_5
442.644	state		choice_state
442.721	event	input	poke_5_out
443.074	event	input	poke_4
443.075	state		chose_left
443.076	variable	print	{"n_trials": 37, "n_rewards": 23, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.08751064, "threshold_crossed": false}
443.576	state		reward_left
443.647	state		reward_consumption
445.704	event	sync	rsync
450.259	event	input	poke_4_out
450.471	event	input	poke_4
451.815	event	input	poke_4_out
452.816	event	timer	consumption_timer
452.816	state		inter_trial_interval
452.833	event	sync	rsync
453.704	event	input	poke_5
453.762	event	input	poke_5_out
454.092	event	input	poke_4
454.232	event	sync	rsync
454.759	state		initiation_state
455.030	event	input	poke_4_out
455.401	event	input	poke_5
455.402	state		forced_choice_left
455.479	event	input	poke_5_out
455.899	event	input	poke_4
455.900	state		chose_left
455.901	variable	print	{"n_trials": 38, "n_rewards": 23, "n_blocks": 1, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.08751064, "threshold_crossed": false}
456.402	state		no_reward
456.502	state		reward_consumption
456.964	event	input	poke_4_out
457.346	event	input	poke_5
457.396	event	input	poke_5_out
457.965	event	timer	consumption_timer
457.965	state		inter_trial_interval
459.773	event	input	poke_4
460.246	state		initiation_state
460.291	event	input	poke_4_out
460.797	event	input	poke_5
460.798	state		choice_state
